# t,bfl,bfr,brl,brr,wfl,wfr,wrl,wrr,roll,pitch
5.860000000000000320e+00,8.078763053068319100e-02,8.789105427087082201e-02,8.766466205862370742e-02,8.086717628229722621e-02,-3.022779366577663801e-03,8.690117921524145861e-03,-3.598089508480180332e-04,-2.621610272122813778e-03,-1.375980342550310320e+00,-6.161081910306187570e-01
5.879999999999999893e+00,8.080192587252428560e-02,8.652806442891605720e-02,8.646673593602270669e-02,8.110826461970982448e-02,-3.036442399424531952e-03,4.901490948747255771e-03,4.236323546968762122e-04,-2.832163246516562760e-03,-6.488456626960679152e-01,-3.269626113431782222e-01
5.900000000000000355e+00,8.089466461090079330e-02,8.522005044873634527e-02,8.527710047456942000e-02,8.133396860742486689e-02,-3.048547304876997321e-03,1.589160930946211664e-03,5.042660030777634805e-04,-3.224031963310978327e-03,-7.926172195224194528e-02,-1.267349866161595062e-01
5.919999999999999929e+00,8.091812471686135599e-02,8.428301324944989514e-02,8.403818849418877301e-02,8.141374280021188015e-02,-3.068578065993206316e-03,-1.230498446141595897e-03,5.910304803960347853e-04,-3.546980454178182834e-03,4.516069955901459987e-01,8.340484619900805086e-02
5.940000000000000391e+00,8.035300236692172193e-02,8.362022586318462736e-02,8.283618187614842643e-02,8.106420454072871262e-02,-2.789283869646840691e-03,-2.216692424771807279e-03,7.814744659986848363e-04,-3.602269710168116978e-03,7.939754708972696085e-01,1.751304485411739054e-01
5.959999999999999964e+00,7.977067093809447895e-02,8.255754994594827201e-02,8.177620984455162556e-02,8.048258798388252533e-02,-2.286710686578766888e-03,-2.519886556657278259e-03,8.301699922965352640e-04,-3.387428281827458559e-03,8.938188096312292830e-01,1.810230811406669804e-01
5.980000000000000426e+00,7.943098863512115804e-02,8.143438119380813633e-02,8.080623017640904682e-02,7.993105239328876510e-02,-1.889840443263481745e-03,-2.548740647760571604e-03,3.769773960827747794e-04,-3.080042578386805313e-03,7.898387283976969764e-01,1.449319261026208727e-01
6.000000000000000000e+00,7.926037113351283581e-02,8.036762288381477104e-02,8.001663577235870739e-02,7.953750575644907839e-02,-1.723559737294655392e-03,-2.443355760926409909e-03,-5.429017293314165882e-04,-2.803293293036974998e-03,5.437548831116667536e-01,7.127236991719590464e-02
6.020000000000000462e+00,7.913234810716346379e-02,7.951191641890811845e-02,7.966472003081437325e-02,7.917944745297782194e-02,-1.685617172122129415e-03,-2.277403460452909201e-03,-1.027111435319610910e-03,-2.471281832987216182e-03,2.925348084820246219e-01,2.164485782579164685e-02
6.040000000000000036e+00,7.908402177554071932e-02,7.882795320078918311e-02,7.951448215522570473e-02,7.884738717841938138e-02,-1.728388390345246550e-03,-2.034120645362760132e-03,-1.360368281311453986e-03,-2.090292935196910035e-03,1.924357271189441887e-02,-9.351789841028980074e-03
6.060000000000000497e+00,7.905576640027446589e-02,7.840272936031363049e-02,7.941721769509856033e-02,7.865726922856683401e-02,-1.787449326740797595e-03,-1.772225800619576380e-03,-1.664326359705335656e-03,-1.789735844603391329e-03,-1.944553785383997258e-01,-3.721728517944306036e-02
6.080000000000000071e+00,7.905497428816382621e-02,7.811645272559240849e-02,7.935910816875300922e-02,7.858358986624947029e-02,-1.815297697924916215e-03,-1.583520980657799476e-03,-1.935786692517212082e-03,-1.595642166100034315e-03,-3.423178247902911586e-01,-6.537332769930462306e-02
6.100000000000000533e+00,7.904878769316285581e-02,7.793011594253428098e-02,7.932379988249640967e-02,7.857670339130326531e-02,-1.807509552390160201e-03,-1.478042895768850312e-03,-2.133571407870495096e-03,-1.504642596462900384e-03,-4.237814879309163563e-01,-9.214781927076327872e-02
6.120000000000000107e+00,7.902450598676574733e-02,7.788137642234838065e-02,7.928781942556861750e-02,7.861381769005845732e-02,-1.786050580881874683e-03,-1.436945575970290795e-03,-2.227736750076508843e-03,-1.490228707445511586e-03,-4.362291912583030618e-01,-1.078897075052199644e-01
6.140000000000000568e+00,7.903026462470510993e-02,7.792598059906835628e-02,7.927143339656365917e-02,7.869483184764708428e-02,-1.739095479272805000e-03,-1.450155205691330135e-03,-2.246096164480650831e-03,-1.517072444084690414e-03,-4.054988004814262248e-01,-1.149149175590924304e-01
