time_ms,FL_target_x_mm,FL_target_z_mm,FR_target_x_mm,FR_target_z_mm,RL_target_x_mm,RL_target_z_mm,RR_target_x_mm,RR_target_z_mm,FL_actual_x_mm,FL_actual_z_mm,FR_actual_x_mm,FR_actual_z_mm,RL_actual_x_mm,RL_actual_z_mm,RR_actual_x_mm,RR_actual_z_mm,roll_deg,pitch_deg,FR_minus_RL_z_documented_axis_mm,RL_first_swing_tilt_sensitivity_min_mm,RL_first_swing_tilt_sensitivity_max_mm
1202,-43.62703157959366,7.161181808765835,4.127910468715745,0.1705919144157353,8.074207293434249,-0.002129778402221172,-39.044769236776936,7.103415247830133,-47.71472528645005,3.4772365224988584,7.288623264010946,3.3166749546256478,13.32301688651924,2.8495618624244656,-38.89058008958493,4.616865040104834,-1.7,-0.1,4.826489403452053,-7.449793405912245,3.917247658472858
1222,-42.682024527479186,9.481848099590046,3.7765474331993842,0.14459126045657245,7.909035492160349,0.05415068446618099,-38.0142060654162,9.277954715441226,-48.12180461570517,4.353457003585998,6.996860750195538,3.2594628538896164,12.471002221784266,2.4399061983813723,-39.60396981909034,5.0037057613561,-1.9,-0.1,5.609337638352016,-8.902822753368136,3.7832375428470675
1242,-41.60827208040574,11.663868662429925,2.723897421099575,0.09084144049864573,7.1915185300610585,-0.04721419124699422,-36.98495470116553,11.489598390893779,-48.522924862353015,5.234898501606716,6.704955851669359,3.2026236523460954,12.085964419102035,2.509096463990834,-40.3124909775883,5.296545323162594,-2.0,-0.1,5.698619575260411,-9.443510613410671,3.879733914658165
1262,-40.161591116598395,13.266309292237446,2.3724941676519506,0.06856294532400775,6.669534383655861,-0.07835817034072823,-36.04082407733961,13.357684141747054,-48.918052854094505,6.121512918510027,6.41290911695136,3.1461576075881985,11.732433656636038,2.6045124951401126,-39.81264197805237,6.395536803939242,-2.1,-0.2,6.451902525180228,-10.845276756871872,3.2814033957580815
1282,-38.94061760244935,14.858808124463483,1.6711790961657091,0.04391722835556111,5.426856609277247,-0.04049864145343196,-34.387732604952284,14.751071499978604,-48.423140777770435,6.70196061098996,6.120721095026427,3.090064976465759,11.379177072476015,2.7005405489849146,-39.06431234689897,7.647843027034029,-2.2,-0.3,7.205284388862629,-12.394133995218215,2.5258191650425337
1302,-37.2364865332272,15.757695490048892,0.619936285271766,0.019956156863509822,4.350442772101087,-0.13702337707027779,-32.915478240188314,15.55192037667573,-46.74667123263032,7.751231452775495,5.828179184522414,3.0322567419261146,11.02619576515207,2.7971799250123555,-38.31768502417868,8.91599068024694,-2.2,-0.3,7.053658237433313,-13.5462294961953,1.3380256119242817
1321,-35.38203288046843,15.936962023315445,-0.23965617296375918,0.13032468097949612,3.3071245594274155,-0.018187499817787223,-31.532360488832122,15.981505484764735,-45.11322676980703,8.78498534971564,5.08223923802667,3.006538923925439,10.691119497555135,2.889552929264627,-37.610042086243325,10.135314355093863,-2.1,-0.3,6.720945224282709,-14.330775297859603,-0.13329293357161598
1341,-33.53446240588126,16.127181070248298,-1.293285179986392,0.08833291704976598,2.0707724056839574,-0.038897620617012185,-29.902090618230293,16.071938363733178,-43.40550616269595,9.896171703794934,4.276540310830801,2.986517012841708,9.747384888133675,2.8585699678644327,-36.86697475405509,11.4329468777261,-1.9,-0.4,6.984124210293624,-15.05636207602784,-2.076121004046416
1361,-31.442125712626083,15.978710521029754,-2.6950231973764947,0.07103392070365033,0.6736642044331276,0.09128169141399411,-28.148381555968662,16.00206402911357,-41.710128501770306,11.03704250009556,3.470789641377009,2.969080625922729,8.578013427893104,2.724963936946878,-36.126508324606455,12.76872626609997,-1.5,-0.4,6.238026175295633,-15.200522651473772,-4.886313003982775
1382,-29.477978931616995,15.954274552759523,-3.7470436258123243,0.05925323834927998,-0.5565775057712885,0.012403723109261078,-26.19112989541125,16.008182527393096,-39.94365113072543,12.266646670226395,2.6247070482011967,2.9537332657700865,7.343240523560252,2.5854459743496205,-33.760816123678566,13.57712805986945,-0.9,-0.5,5.766884450346218,-14.239097936123255,-6.535972180385582
