index,mcu_ms,roll10,pitch10,phase1000,rate1000,valid,fault
415,1169840,-35,-10,411,1000,1,0
416,1169860,-35,-11,420,1000,1,0
417,1169880,-35,-11,428,1000,1,0
418,1169902,-35,-11,436,1000,1,0
419,1169922,-35,-11,444,1000,1,0
420,1169940,-35,-11,453,1000,1,0
421,1169960,-35,-11,461,1000,1,0
422,1169980,-36,-11,469,1000,1,0
423,1170000,-35,-11,477,1000,1,0
424,1170018,-34,-11,486,1000,1,0
425,1170038,-33,-10,494,1000,1,0
426,1170058,-32,-10,502,1000,1,0
427,1170078,-32,-10,510,1000,1,0
428,1170098,-32,-10,518,1000,1,0
429,1170118,-29,-10,527,1000,1,0
430,1170138,-29,-10,535,1000,1,0
431,1170158,-30,-10,543,1000,1,0
432,1170178,-30,-10,551,1000,1,0
433,1170198,-32,-10,560,1000,1,0
434,1170218,-32,-10,568,1000,1,0
435,1170238,-32,-10,576,1000,1,0
436,1170258,-32,-10,584,1000,1,0
437,1170276,-32,-10,584,1000,1,0
438,1170296,-32,-10,584,1000,1,0
439,1170316,-32,-10,584,1000,1,0
440,1170336,-31,-10,584,1000,1,0
441,1170356,-31,-10,584,1000,1,0
442,1170376,-31,-10,584,1000,1,0
443,1170396,-32,-10,584,1000,1,0
444,1170416,-32,-10,584,1000,1,0
445,1170436,-32,-10,584,1000,1,0
446,1170456,-32,-10,584,1000,1,0
447,1170476,-32,-10,584,1000,1,0
448,1170496,-32,-10,584,1000,1,0
449,1170516,-32,-10,584,1000,1,0
450,1170536,-32,-10,584,1000,1,0
451,1170556,-32,-10,584,1000,1,0
452,1170576,-32,-10,584,1000,1,0
453,1170595,-32,-10,584,1000,1,0
454,1170616,-32,-10,584,1000,1,0
455,1170636,-32,-10,584,1000,1,0
456,1170655,-32,-10,584,1000,1,0
457,1170675,-32,-11,584,1000,1,0
458,1170695,-32,-11,584,1000,1,0
459,1170715,-31,-11,584,1000,1,0
460,1170735,-31,-11,584,1000,1,0
461,1170755,-32,-11,584,1000,1,0
462,1170775,-32,-10,584,1000,1,0
463,1170795,-32,-10,584,1000,1,0
464,1170815,-32,-10,584,1000,1,0
465,1170835,-31,-10,584,1000,1,0
466,1170855,-31,-10,584,1000,1,0
467,1170875,-31,-10,584,1000,1,0
468,1170895,-31,-10,584,1000,1,0
469,1170915,-31,-10,584,1000,1,0
470,1170935,-31,-10,584,1000,1,0
471,1170955,-31,-10,584,1000,1,0
472,1170975,-31,-10,584,1000,1,0
473,1170995,-31,-10,584,1000,1,0
474,1171015,-31,-10,584,1000,1,0
475,1171036,-31,-10,584,1000,1,0
476,1171056,-31,-10,584,1000,1,0
477,1171076,-31,-10,584,1000,1,0
478,1171096,-31,-10,584,1000,1,0
479,1171116,-31,-10,584,1000,1,0
480,1171136,-31,-10,584,1000,1,0
481,1171156,-31,-10,584,1000,1,0
482,1171176,-31,-10,584,1000,1,0
483,1171196,-31,-9,584,1000,1,0
484,1171216,-31,-9,584,1000,1,0
485,1171236,-31,-9,584,1000,1,0
486,1171256,-31,-9,584,1000,1,0
