time_s,phase,roll_deg,pitch_deg,voltage_v,phase_rate,safety,FL_j2_target_deg,FL_j2_actual_deg,FL_j3_target_deg,FL_j3_actual_deg,FL_normal_force_n,FL_clearance_mm,FL_body_relative_x_from_s_mm,FR_j2_target_deg,FR_j2_actual_deg,FR_j3_target_deg,FR_j3_actual_deg,FR_normal_force_n,FR_clearance_mm,FR_body_relative_x_from_s_mm,RL_j2_target_deg,RL_j2_actual_deg,RL_j3_target_deg,RL_j3_actual_deg,RL_normal_force_n,RL_clearance_mm,RL_body_relative_x_from_s_mm,RR_j2_target_deg,RR_j2_actual_deg,RR_j3_target_deg,RR_j3_actual_deg,RR_normal_force_n,RR_clearance_mm,RR_body_relative_x_from_s_mm
11.94,0.4117936220417988,-0.024271776018535387,-0.04786525556785444,10.725746494874087,1.0,ok,46.011386135692085,45.738370882851804,90.01601794671119,90.94147036509011,6.494070240086659,-1.6762500818075474,3.1708246906546056,46.0113861168377,45.87561324924024,90.0160179082293,90.89771830247797,6.5890655920570556,-1.7118490847466312,2.515944408617937,46.01138576650513,45.69583953932037,90.01601670486666,91.04735237065583,7.026024704289447,-1.823571931483841,3.5778765830440373,46.0113857480446,45.77062858237835,90.01601666681127,90.9954936543459,6.908642348655057,-1.7966517561331177,3.1578329019202322
11.96,0.4117936220417988,-0.024655039653836922,-0.04748259941939227,10.72555384378198,1.0,ok,46.011386135692085,45.74059043067677,90.01601794671119,90.94195980908403,6.499094310527049,-1.6788273025760345,3.1628628654511717,46.0113861168377,45.869667298097184,90.0160179082293,90.89899092086844,6.583760603770378,-1.7089322205528328,2.5429062254178625,46.01138576650513,45.69966942756944,90.01601670486666,91.04614454194918,7.025152134846475,-1.8246846009819204,3.5595705815409104,46.0113857480446,45.770251751197904,90.01601666681127,90.99539959026625,6.909730287328916,-1.795980445830618,3.159145276878106
11.98,0.4117936220417988,-0.024481082055593816,-0.04708684885626858,10.725378708910204,1.0,ok,46.011386135692085,45.742589483039666,90.01601794671119,90.94217796016981,6.501939362378051,-1.6807814990052183,3.1551975984412115,46.0113861168377,45.86416013712219,90.0160179082293,90.90040854045299,6.580943354766883,-1.7067691539898455,2.5684075943202824,46.01138576650513,45.70320237986867,90.01601670486666,91.04470555010543,7.022248040248901,-1.8251457853855693,3.5419646094626,46.0113857480446,45.76998196071413,90.01601666681127,90.99546138596575,6.912451045432224,-1.7957738228027291,3.160367687366578
12.0,0.4117936220417988,-0.023786989774837647,-0.0466832044847488,10.725218577053905,1.0,ok,46.011386135692085,45.744396809569785,90.01601794671119,90.94213798179833,6.503233764382259,-1.6821410569673247,3.1477402491616733,46.0113861168377,45.85906805631517,90.0160179082293,90.90197719406966,6.579851433546955,-1.7053074202519822,2.5925587186956536,46.01138576650513,45.706474546399164,90.01601670486666,91.04305506442009,7.018041627231929,-1.8250145613947326,3.524954509364936,46.0113857480446,45.7698165632483,90.01601666681127,90.99568717935637,6.91627342597482,-1.7960124627942746,3.1615292100028447
12.02,0.4117936220417988,-0.022676399667576855,-0.04627895152064133,10.725070903916894,1.0,ok,46.011386135692085,45.74604168428043,90.01601794671119,90.9418855229861,6.5035907657713565,-1.6829999434065415,3.1404725199052628,46.0113861168377,45.85435093682454,90.0160179082293,90.9036676701186,6.579770959961541,-1.7044232505255343,2.615458025327894,46.01138576650513,45.70952234961677,90.01601670486666,91.04124651653153,7.0131993620359845,-1.8244141835166392,3.5085097407170918,46.0113857480446,45.76973836928596,90.01601666681127,90.99605746611275,6.920671338867974,-1.796618917619952,3.162656825509286
12.040000000000001,0.4117936220417988,-0.021282618579520154,-0.04588117590335052,10.724933477964212,1.0,ok,46.011386135692085,45.747551804456386,90.01601794671119,90.94148159255174,6.503531975893794,-1.6834838455346384,3.1334168780630947,46.0113861168377,45.84996239350641,90.0160179082293,90.90543181704597,6.580113480631475,-1.7039626827169,2.6371871789903354,46.01138576650513,45.712379436087275,90.01601670486666,91.03934724796802,7.008258402043929,-1.8234926529506998,3.492641941379965,46.0113857480446,45.76972350042425,90.01601666681127,90.9965361743757,6.925193935996176,-1.7974867405057862,3.1637679598386095
12.06,0.4117936220417988,-0.01974031244676334,-0.04549557088929818,10.724804564484291,1.0,ok,46.011386135692085,45.74895165891155,90.01601794671119,90.9409891962185,6.503448483805393,-1.6837231268553472,3.1266134774887986,46.0113861168377,45.84585704938375,90.0160179082293,90.90721598831773,6.580449957212856,-1.7037722901986594,2.657811417065142,46.01138576650513,45.71507477105392,90.01601670486666,91.03742403853184,7.003600148511999,-1.8223941209174408,3.477380694988763,46.0113857480446,45.76974731254893,90.01601666681127,90.99708080442814,6.929502851737015,-1.7985042009945538,3.1648688294359237
12.08,0.4117936220417988,-0.018166617208662774,-0.04512602086696738,10.72468290816304,1.0,ok,46.011386135692085,45.75026148632345,90.01601794671119,90.94046424005121,6.503592357821499,-1.6838340424951173,3.1201041407502017,46.0113861168377,45.84199501036091,90.0160179082293,90.90897072441261,6.580512118973489,-1.7037191775988032,2.6773829091955026,46.01138576650513,45.71763173705567,90.01601670486666,91.03553395053929,6.999453325223068,-1.8212409143309565,3.462756937996386,46.0113857480446,45.76978825681626,90.01601666681127,90.99765038108245,6.933382009956848,-1.799571143161597,3.16595635054398
12.1,0.4117936220417988,-0.01665099120442928,-0.04477467171712871,10.72456765922463,1.0,ok,46.011386135692085,45.75149685861061,90.01601794671119,90.93995044944795,6.504089593437641,-1.6839080340626984,3.113922715048872,46.0113861168377,45.838343970148486,90.0160179082293,90.91065660380579,6.580172199415311,-1.703701359528631,2.695945236519198,46.01138576650513,45.72006804914676,90.01601670486666,91.0337197517127,6.995915924164047,-1.820124744325323,3.4487931524443125,46.0113857480446,45.769829886565944,90.01601666681127,90.9982107222512,6.936727577765761,-1.800608861337885,3.167021659271435
12.120000000000001,0.4117936220417988,-0.015252201393431237,-0.04444225347252411,10.724458270444302,1.0,ok,46.011386135692085,45.75266882507266,90.01601794671119,90.93947760812863,6.504965650904913,-1.6840078805651706,3.1080905266081538,46.0113861168377,45.83487954056594,90.0160179082293,90.91224674921425,6.579411125389011,-1.7036504867199744,2.7135376475624637,46.01138576650513,45.72239626847956,90.01601670486666,91.03200886005415,6.992986648884731,-1.8191050097051755,3.435498907067458,46.0113857480446,45.76986140444759,90.01601666681127,90.99873710067835,6.939525949277617,-1.801563882410994,3.168053802479809
12.14,0.4117936220417988,-0.014000433313241703,-0.04412848813294183,10.72435439515131,1.0,ok,46.011386135692085,45.75378448374217,90.01601794671119,90.93906222396257,6.506175966671147,-1.6841689566794056,3.102615497665745,46.0113861168377,45.83158442267584,90.0160179082293,90.91372677166484,6.5782832879202,-1.7035291989799841,2.730198325806038,46.01138576650513,45.72462469080031,90.01601670486666,91.0304146866042,6.9905985076703985,-1.81821193629279,3.4228701780724125,46.0113857480446,45.769877205418,90.01601666681127,90.99921474304246,6.941826712560744,-1.8024071081565693,3.1690427245665287
12.16,0.4117936220417988,-0.012902513881758282,-0.04383247830214811,10.724255802244052,1.0,ok,46.011386135692085,45.75484781443395,90.01601794671119,90.93870971474185,6.507635684069058,-1.6844037380670946,3.097493586715294,46.0113861168377,45.82844696234644,90.0160179082293,90.91509302174478,6.57688369003987,-1.7033253001457402,2.745966390486465,46.01138576650513,45.72675840542783,90.01601670486666,91.02893934979832,6.988649462848926,-1.8174524619642591,3.4108910164079576,46.0113857480446,45.76987584560773,90.01601666681127,90.99963778640186,6.943715948024736,-1.8031299441027617,3.1699811705180325
12.18,0.4117936220417988,-0.011948501888677347,-0.04355302301250761,10.724162314073766,1.0,ok,46.011386135692085,45.755860609925165,90.01601794671119,90.93841731541771,6.509244870110806,-1.6847078718893251,3.0927114432934277,46.0113861168377,45.82545951495102,90.0160179082293,90.91634995492807,6.575320976279621,-1.7030446114341644,2.7608826977593424,46.01138576650513,45.728800357250876,90.01601670486666,91.0275769258872,6.987027169887224,-1.8168171501914478,3.3995363969255568,46.0113857480446,45.76985879048211,90.01601666681127,91.00000733533845,6.94529338685211,-1.8037389269241442,3.1708654904584463
12.200000000000001,0.4117936220417988,-0.01111830836546837,-0.04328884321454841,10.724073766638872,1.0,ok,46.011386135692085,45.75682336832701,90.01601794671119,90.93817708354558,6.510907338056793,-1.6850664780484643,3.088249448119418,46.0113861168377,45.82261691202392,90.0160179082293,90.91750726602598,6.573697882886373,-1.7027038960725807,2.7749897087153697,46.01138576650513,45.73075229095807,90.01601670486666,91.02631662706743,6.9856266172609685,-1.816286876447682,3.3887753952572264,46.0113857480446,45.769829197908976,90.01601666681127,91.00032918298012,6.946655254937687,-1.804250072857217,3.171695552534187
12.22,0.4117936220417988,-0.010387456323519942,-0.04303872185128114,10.723989988171379,1.0,ok,46.011386135692085,45.75773604991066,90.01601794671119,90.93797857672772,6.512542683662427,-1.685459759307232,3.084084582896496,46.0113861168377,45.81991520048443,90.0160179082293,90.91857725804547,6.572099151090351,-1.7023247620373723,2.7883307661292767,46.01138576650513,45.732615505090365,90.01601670486666,91.02514552200977,6.984360800619758,-1.8158384941508974,3.3785741334445287,46.0113857480446,45.769790894172914,90.01601666681127,91.0006116228392,6.947883241543333,-1.80468380513088,3.1724740670757146
12.24,0.4117936220417988,-0.009731503888499683,-0.04280157486575142,10.72391079102309,1.0,ok,46.011386135692085,45.75859864523248,90.01601794671119,90.93781096199461,6.5140921865112285,-1.6858673983149546,3.0801928102210105,46.0113861168377,45.81735072523882,90.0160179082293,90.91957272198647,6.570585952749251,-1.7019290116036014,2.800949108098721,46.01138576650513,45.73439138715509,90.01601670486666,91.02405060657237,6.983165419640152,-1.815449091602663,3.368898184270636,46.0113857480446,45.76974761706083,90.01601666681127,91.00086362547043,6.949039049379017,-1.8050609556868393,3.173205628215298
12.26,0.4117936220417988,-0.009128992746126715,-0.04257647309652151,10.723835971952584,1.0,ok,46.011386135692085,45.75941154064033,90.01601794671119,90.93766447193043,6.51551983427813,-1.6862715566009248,3.076550828737007,46.0113861168377,45.81491955352442,90.0160179082293,90.92050544177651,6.569195346460723,-1.7015355566184152,2.8128868803398985,46.01138576650513,45.73608173575913,90.01601670486666,91.02302018238828,6.981999023207479,-1.8150987672048875,3.3597143144736275,46.0113857480446,45.7697025364407,90.01601666681127,91.0010935125084,6.950163404417799,-1.8054000258983967,3.1738957252927524
12.280000000000001,0.4117936220417988,-0.008563026101223928,-0.042362633783115694,10.723765316811342,1.0,ok,46.011386135692085,45.7601756974396,90.01601794671119,90.93753123634032,6.51680996172566,-1.6866585400655796,3.07313719954988,46.0113861168377,45.81261719375102,90.0160179082293,90.9213853157255,6.567943125325558,-1.7011587723025219,2.824184321125439,46.01138576650513,45.737688899607825,90.01601670486666,91.02204460422298,6.980840133887095,-1.8147720673710386,3.350991578348311,46.0113857480446,45.76965802063331,90.01601666681127,91.00130814740943,6.951278173120524,-1.8057156584550433,3.1745498969739936
12.3,0.4117936220417988,-0.008021727141836877,-0.04215939673153157,10.723698606758605,1.0,ok,46.011386135692085,45.7608926803105,90.01601794671119,90.93740559026021,6.517962951096221,-1.6870193529055741,3.069932921849178,46.0113861168377,45.81043853897794,90.0160179082293,90.9222200058085,6.566828528478638,-1.7008080166911639,2.8348792065329143,46.01138576650513,45.73921577632975,90.01601670486666,91.02111651684034,6.979682754778691,-1.8144583559386516,3.342701852660862,46.0113857480446,45.769615594261,90.01601666681127,91.00151258400304,6.9523902662433095,-1.8060181241541275,3.1751731196415225
12.32,0.4117936220417988,-0.007497893019570673,-0.04196619577881012,10.723635624208457,1.0,ok,46.011386135692085,45.76156457939422,90.01601794671119,90.93728399380728,6.518990216126339,-1.687349436833109,3.06692157737809,46.0113861168377,45.80837796010822,90.0160179082293,90.92301498507214,6.565839562035751,-1.7004879824404142,2.8450065727916862,46.01138576650513,45.74066571789882,90.01601670486666,91.02023072604922,6.9785313959581,-1.8141514312034999,3.3348199416907978,46.0113857480446,45.76957602618393,90.01601666681127,91.00171007012058,6.953496209184415,-1.8063135553135976,3.1757694530671063
12.34,0.4117936220417988,-0.00698816001575579,-0.041782532091404714,10.72357615758251,1.0,ok,46.011386135692085,45.762193870671496,90.01601794671119,90.93716470471749,6.519909378581652,-1.687647902385018,3.064089174855761,46.0113861168377,45.80642948065607,90.0160179082293,90.9237738437787,6.564958020357689,-1.7001995515219213,2.854598683186327,46.01138576650513,45.74204238621075,90.01601670486666,91.01938384593508,6.977396434495282,-1.813848697004565,3.327323388797904,46.0113857480446,45.7695394899736,90.01601666681127,91.00190228872944,6.954586544227221,-1.8066046461231409,3.1763419176319694
