linear,local_phase,leg,j1,j2,j3,x_mm,y_mm,z_mm,extra_z_mm,extra_xy_error_mm,option_ok,servo_ok
-1,0.049000,1,0.750000,62.535336,86.825974,136.880814,-95.289986,83.992149,0.000000,0.000000,1,1
-1,0.049000,2,0.750000,62.535336,86.825974,-262.119202,95.289970,83.992165,0.000000,0.000000,1,1
-1,0.049000,3,0.750000,62.535336,86.825974,-262.119202,-95.289978,83.992165,0.000000,0.000000,1,1
-1,0.050000,0,0.750000,62.512775,86.849098,137.021622,95.291267,83.985489,0.000000,0.000000,1,1
-1,0.050000,1,0.750000,62.512775,86.849098,137.021622,-95.291267,83.985489,0.000000,0.000000,1,1
-1,0.050000,2,0.750000,62.512775,86.849098,-261.978394,95.291252,83.985497,0.000000,0.000000,1,1
-1,0.050000,3,0.750000,62.512775,86.849098,-261.978394,-95.291260,83.985497,0.000000,0.000000,1,1
-1,0.051000,0,0.750000,62.490181,86.872185,137.162445,95.292557,83.978981,0.000000,0.000000,1,1
-1,0.051000,1,0.750000,62.490181,86.872185,137.162445,-95.292557,83.978989,0.000000,0.000000,1,1
-1,0.051000,2,0.750000,62.490181,86.872185,-261.837555,95.292542,83.978905,0.000000,0.000000,1,1
-1,0.051000,3,0.750000,62.490181,86.872185,-261.837555,-95.292549,83.978905,0.000000,0.000000,1,1
-1,0.052000,0,0.750000,62.467545,86.895218,137.303299,95.293869,83.972305,0.000000,0.000000,1,1
-1,0.052000,1,0.750000,62.467545,86.895218,137.303299,-95.293869,83.972305,0.000000,0.000000,1,1
-1,0.052000,2,0.750000,62.467545,86.895218,-261.696747,95.293854,83.972313,0.000000,0.000000,1,1
-1,0.052000,3,0.750000,62.467545,86.895218,-261.696747,-95.293861,83.972313,0.000000,0.000000,1,1
-1,0.053000,0,0.750000,62.444874,86.918205,137.444199,95.295143,83.965797,0.000000,0.000000,1,1
-1,0.053000,1,0.750000,62.444874,86.918205,137.444199,-95.295143,83.965797,0.000000,0.000000,1,1
-1,0.053000,2,0.750000,62.444874,86.918205,-261.555847,95.295143,83.965775,0.000000,0.000000,1,1
-1,0.053000,3,0.750000,62.444874,86.918205,-261.555847,-95.295151,83.965775,0.000000,0.000000,1,1
-1,0.054000,0,0.750000,62.422165,86.941139,137.584961,95.296463,83.959274,0.000000,0.000000,1,1
-1,0.054000,1,0.750000,62.422157,86.941132,137.585037,-95.296463,83.959213,0.000000,0.000000,1,1
-1,0.054000,2,0.750000,62.422157,86.941132,-261.414948,95.296455,83.959198,0.000000,0.000000,1,1
-1,0.054000,3,0.750000,62.422165,86.941139,-261.415070,-95.296463,83.959221,0.000000,0.000000,1,1
-1,0.055000,0,0.750000,62.399406,86.964020,137.725906,95.297768,83.952690,0.000000,0.000000,1,1
-1,0.055000,1,0.750000,62.399406,86.964020,137.725906,-95.297768,83.952690,0.000000,0.000000,1,1
-1,0.055000,2,0.750000,62.399406,86.964020,-261.274078,95.297745,83.952713,0.000000,0.000000,1,1
-1,0.055000,3,0.750000,62.399406,86.964020,-261.274078,-95.297752,83.952713,0.000000,0.000000,1,1
-1,0.056000,0,0.750000,62.376614,86.986855,137.866760,95.299057,83.946182,0.000000,0.000000,1,1
-1,0.056000,1,0.750000,62.376614,86.986855,137.866760,-95.299057,83.946182,0.000000,0.000000,1,1
-1,0.056000,2,0.750000,62.376614,86.986855,-261.133240,95.299049,83.946175,0.000000,0.000000,1,1
-1,0.056000,3,0.750000,62.376614,86.986855,-261.133240,-95.299057,83.946175,0.000000,0.000000,1,1
-1,0.057000,0,0.750000,62.353783,87.009636,138.007645,95.300369,83.939766,0.000000,0.000000,1,1
-1,0.057000,1,0.750000,62.353783,87.009636,138.007645,-95.300369,83.939766,0.000000,0.000000,1,1
-1,0.057000,2,0.750000,62.353783,87.009636,-260.992401,95.300362,83.939667,0.000000,0.000000,1,1
-1,0.057000,3,0.750000,62.353783,87.009636,-260.992401,-95.300369,83.939667,0.000000,0.000000,1,1
-1,0.058000,0,0.750000,62.330914,87.032372,138.148544,95.301659,83.933220,0.000000,0.000000,1,1
-1,0.058000,1,0.750000,62.330914,87.032372,138.148544,-95.301659,83.933220,0.000000,0.000000,1,1
-1,0.058000,2,0.750000,62.330914,87.032372,-260.851471,95.301659,83.933174,0.000000,0.000000,1,1
-1,0.058000,3,0.750000,62.330914,87.032372,-260.851471,-95.301666,83.933174,0.000000,0.000000,1,1
-1,0.059000,0,0.750000,62.308006,87.055061,138.289459,95.302971,83.926704,0.000000,0.000000,1,1
-1,0.059000,1,0.750000,62.308006,87.055061,138.289459,-95.302971,83.926704,0.000000,0.000000,1,1
-1,0.059000,2,0.750000,62.308006,87.055061,-260.710663,95.302963,83.926758,0.000000,0.000000,1,1
-1,0.059000,3,0.750000,62.308006,87.055061,-260.710663,-95.302971,83.926758,0.000000,0.000000,1,1
-1,0.060000,0,0.750000,62.285057,87.077690,138.430344,95.304268,83.920288,0.000000,0.000000,1,1
-1,0.060000,1,0.750000,62.285057,87.077690,138.430344,-95.304268,83.920288,0.000000,0.000000,1,1
-1,0.060000,2,0.750000,62.285057,87.077690,-260.569702,95.304260,83.920288,0.000000,0.000000,1,1
-1,0.060000,3,0.750000,62.285057,87.077690,-260.569702,-95.304268,83.920288,0.000000,0.000000,1,1
-1,0.061000,0,0.750000,62.262066,87.100281,138.571259,95.305565,83.913864,0.000000,0.000000,1,1
-1,0.061000,1,0.750000,62.262066,87.100281,138.571259,-95.305565,83.913864,0.000000,0.000000,1,1
-1,0.061000,2,0.750000,62.262066,87.100281,-260.428741,95.305565,83.913895,0.000000,0.000000,1,1
-1,0.061000,3,0.750000,62.262066,87.100281,-260.428741,-95.305573,83.913895,0.000000,0.000000,1,1
-1,0.062000,0,0.750000,62.239040,87.122818,138.712173,95.306870,83.907501,0.000000,0.000000,1,1
