time,nom_z_fl,nom_z_fr,nom_z_rl,nom_z_rr,cmd_z_fl,cmd_z_fr,cmd_z_rl,cmd_z_rr,clearance_mm_fl,clearance_mm_fr,clearance_mm_rl,clearance_mm_rr,roll,pitch
16.54,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,-1.5516053870208575,-2.4034832538326127,-1.9756732076043546,-1.075491126470974,-0.020875941989743744,0.12705458767768152
16.56,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,-1.5516063694633078,-2.4034830443698736,-1.975673440503707,-1.0754911869355466,-0.020876066358979085,0.12705446607134435
16.580000000000002,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,-1.5516053911560306,-2.4034834499259903,-1.9756732014491845,-1.0754915850163995,-0.020875758342692705,0.12705450967106605
16.6,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,-1.5516074676642078,-2.403482601598481,-1.9756737716034243,-1.0754907016056487,-0.020876424751449265,0.1270544308497872
16.62,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,-1.5516072287040037,-2.4034827447093723,-1.975673746766833,-1.0754905056807942,-0.020876452925243386,0.12705451161546447
16.64,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,-1.5516061771524945,-2.4034831053638683,-1.975673510264158,-1.0754910779985674,-0.020876093807217694,0.12705453140263942
16.66,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,-1.5516009580366295,-2.4034847670350716,-1.9756722580014132,-1.0754913208127597,-0.020875142198938122,0.1270551334529152
16.68,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,-1.5516031037906015,-2.4034842085866974,-1.9756727432328758,-1.075491664129272,-0.020875357941679554,0.1270547961357792
16.7,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,-1.551608108881124,-2.403482352315172,-1.9756740142319353,-1.075490590497259,-0.020876577876063035,0.12705438362696567
16.72,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,-1.551607366028558,-2.4034826687732784,-1.9756738322212684,-1.0754906115763123,-0.020876436745908757,0.12705447768877162
16.740000000000002,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,-1.5516022782058307,-2.403484447878707,-1.9756725532850266,-1.0754917872087006,-0.020875171387112177,0.127054881886655
16.76,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,-1.5516006407631129,-2.4034849652250987,-1.9756721517811202,-1.07549168482368,-0.02087492159013613,0.12705510075901896
16.78,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,-1.5516022610537108,-2.4034845494443036,-1.9756725082688416,-1.0754919769568154,-0.02087506922523268,0.1270548421035622
16.8,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,-1.5516065162731376,-2.403482868059418,-1.9756736285881649,-1.0754908048489271,-0.020876219123911542,0.12705453830668914
16.82,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,-1.551605443998209,-2.403483303803633,-1.9756733748194157,-1.0754908403723518,-0.020876022348302707,0.1270546711360733
16.84,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,-1.551600398734124,-2.4034851682630323,-1.975672077281311,-1.0754921114325307,-0.020874709393050802,0.12705506222104596
16.86,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,-1.5516020777627104,-2.403484535853373,-1.9756725224721743,-1.0754915743511098,-0.020875182031571914,0.12705494363854075
16.88,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,-1.5516031943933715,-2.4034842512212355,-1.9756727708907622,-1.0754918571832806,-0.020875258108563423,0.12705475078266498
16.9,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,-1.5516031160208998,-2.403484015550371,-1.9756728326063115,-1.075491148239705,-0.020875528831526862,0.12705489915985174
16.92,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,-1.551601760282224,-2.4034845820859427,-1.9756724918538644,-1.075491263250735,-0.02087524624528923,0.1270550591332238
16.94,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,-1.5516002346470485,-2.403485279659022,-1.9756720615976207,-1.0754921906466486,-0.020874641643990485,0.1270550701456271
16.96,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,-1.551604973059218,-2.4034835415459552,-1.9756732866112146,-1.0754911958790851,-0.020875802383829283,0.1270546515857895
16.98,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,-1.5516056168723737,-2.403483407043272,-1.9756734113270982,-1.0754915127269231,-0.02087578428682798,0.12705451529024334
17.0,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,-1.5516015226976574,-2.4034846061758395,-1.975672451639522,-1.0754913751780324,-0.02087516636879931,0.12705506064585034
17.02,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,-1.551599839790408,-2.4034853107003857,-1.975672018331473,-1.0754915861770336,-0.02087478992366065,0.12705524347290836
17.04,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,-1.551601566614132,-2.4034848670793085,-1.975672407423617,-1.0754920996156967,-0.020874885715938218,0.1270549193967445
17.06,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,-1.5516056110591556,-2.403483315446389,-1.9756734636223843,-1.0754910759392893,-0.020875942836738246,0.12705460045301709
17.080000000000002,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,-1.5516057706360613,-2.4034833271122413,-1.9756734735688133,-1.0754914313725832,-0.020875834626391622,0.1270545150159974
17.1,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,-1.551601532844905,-2.4034846599387745,-1.9756724572771687,-1.0754914458950584,-0.020875126965637713,0.12705504725480926
17.12,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,-1.5515995497671458,-2.4034854945185655,-1.9756719405110423,-1.0754917518870972,-0.020874662558551527,0.1270552496507251
17.14,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,-1.5516043175179632,-2.4034839278975206,-1.9756731124931544,-1.0754917790534377,-0.020875457836064436,0.12705463198533312
17.16,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,-1.551604071542225,-2.40348382663292,-1.9756731022790193,-1.075491231514042,-0.020875627697645272,0.127054763928131
17.18,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,-1.5516037996024559,-2.4034839797651557,-1.9756730057348786,-1.0754916321456809,-0.020875432236400458,0.12705472365974246
17.2,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,-1.5516030585452472,-2.403484170890528,-1.97567284670681,-1.075491305347405,-0.020875424674867034,0.12705488109047783
17.22,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,-1.5516007949741335,-2.403485131399867,-1.9756722511151161,-1.0754917110041857,-0.02087487367859267,0.12705509963376435
17.240000000000002,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,-1.551608576800735,-2.403482466043428,-1.9756741673918574,-1.0754911912847185,-0.020876362429255987,0.1270542262868097
